lambda,Pabs
350, 0.884014
351, 0.871295
352, 0.857283
353, 0.842266
354, 0.826525
355, 0.810324
356, 0.793913
357, 0.777515
358, 0.76133
359, 0.745532
360, 0.730266
361, 0.71565
362, 0.701775
363, 0.68871
364, 0.676501
365, 0.665181
366, 0.654768
367, 0.645272
368, 0.636699
369, 0.629051
370, 0.622328
371, 0.616528
372, 0.611648
373, 0.607683
374, 0.604621
375, 0.602452
376, 0.601159
377, 0.600722
378, 0.60112
379, 0.602332
380, 0.604336
381, 0.607113
382, 0.610644
383, 0.614913
384, 0.619903
385, 0.625599
386, 0.631984
387, 0.639037
388, 0.646736
389, 0.655051
390, 0.663947
391, 0.673383
392, 0.683312
393, 0.69368
394, 0.704429
395, 0.715493
396, 0.726804
397, 0.738287
398, 0.749864
399, 0.761453
400, 0.772968
401, 0.784319
402, 0.795412
403, 0.806151
404, 0.81644
405, 0.82618
406, 0.835275
407, 0.84363
408, 0.851159
409, 0.857781
410, 0.863425
411, 0.868034
412, 0.871563
413, 0.87398
414, 0.875273
415, 0.87544
416, 0.874497
417, 0.872473
418, 0.869406
419, 0.865349
420, 0.860361
421, 0.854506
422, 0.847856
423, 0.840486
424, 0.832472
425, 0.823891
426, 0.814823
427, 0.805345
428, 0.795534
429, 0.785464
430, 0.775209
431, 0.764836
432, 0.754413
433, 0.743999
434, 0.733652
435, 0.723422
436, 0.713354
437, 0.703489
438, 0.69386
439, 0.684497
440, 0.675425
441, 0.666663
442, 0.65823
443, 0.650139
444, 0.642403
445, 0.63503
446, 0.62803
447, 0.62141
448, 0.615175
449, 0.609328
450, 0.603873
451, 0.59881
452, 0.594135
453, 0.589845
454, 0.585932
455, 0.582385
456, 0.579192
457, 0.576335
458, 0.573796
459, 0.571551
460, 0.569577
461, 0.567846
462, 0.566327
463, 0.56499
464, 0.563799
465, 0.56272
466, 0.561717
467, 0.560755
468, 0.559797
469, 0.558809
470, 0.557758
471, 0.556613
472, 0.555348
473, 0.553939
474, 0.552367
475, 0.550617
476, 0.548679
477, 0.54655
478, 0.544228
479, 0.541718
480, 0.539027
481, 0.53617
482, 0.533159
483, 0.530014
484, 0.526753
485, 0.523399
486, 0.519973
487, 0.516498
488, 0.512997
489, 0.509492
490, 0.506005
491, 0.502556
492, 0.499165
493, 0.495849
494, 0.492624
495, 0.489505
496, 0.486504
497, 0.48363
