X,T
6.61744e-18, 310.15
0.154094, 310.15
0.481385, 310.15
0.510392, 310.15
0.545103, 310.15
0.569391, 310.15
1.02125, 310.15
1.10744, 310.15
1.45307, 310.15
1.77783, 310.15
1.80257, 310.15
1.88227, 310.15
2.23788, 310.15
2.25009, 310.15
2.53761, 310.15
2.76229, 310.15
2.77699, 310.15
3.15373, 310.15
3.17381, 310.15
3.2619, 310.15
3.38492, 310.15
3.68931, 310.15
3.70514, 310.15
3.71784, 310.15
4.17117, 310.15
4.36107, 310.15
4.50695, 310.15
4.51805, 310.15
4.73286, 310.15
4.7566, 310.15
5.08371, 310.15
5.10486, 310.15
5.40396, 310.15
5.70351, 310.15
5.98585, 310.15
6.14006, 310.15
6.15547, 310.15
6.3123, 310.15
6.60903, 310.15
6.62103, 310.15
6.62907, 310.15
6.93823, 310.15
7.16769, 310.15
7.18815, 310.15
7.74565, 310.15
7.77759, 310.15
7.87601, 310.15
7.98935, 310.15
8.02261, 310.15
8.35178, 310.15
8.64382, 310.15
8.67319, 310.15
8.8678, 310.15
9.0367, 310.15
9.07009, 310.15
9.0952, 310.15
9.32686, 310.15
9.33578, 310.15
9.85575, 310.15
9.86538, 310.15
9.88413, 310.15
9.8911, 310.15
10.3943, 310.15
10.4126, 310.15
10.5423, 310.15
11.1055, 310.15
11.1698, 310.15
11.1875, 310.15
11.306, 310.15
11.6008, 310.15
11.7689, 310.15
11.7925, 310.15
12.0457, 310.15
12.5097, 310.15
12.5261, 310.15
12.6929, 310.15
13.2779, 310.15
13.328, 310.15
13.3445, 310.15
13.3639, 310.15
13.4655, 310.15
13.959, 310.15
14.0325, 310.15
14.0829, 310.15
14.4743, 310.15
14.4872, 310.15
14.4988, 310.15
14.7116, 310.15
15.1147, 310.15
15.1311, 310.15
15.1489, 310.15
15.4136, 310.15
15.692, 310.15
15.8061, 310.15
16.3436, 310.15
16.3692, 310.15
16.3808, 310.15
16.4118, 310.15
16.4224, 310.15
16.5448, 310.15
17.1519, 310.15
17.183, 310.15
17.2022, 310.15
17.2785, 310.15
17.8814, 310.15
18.275, 310.15
18.3052, 310.15
18.3844, 310.15
18.4339, 310.15
18.4526, 310.15
18.8572, 310.15
18.877, 310.15
19.4772, 310.15
19.5782, 310.15
19.5954, 310.15
19.6777, 310.15
20.2911, 310.15
20.3087, 310.15
20.541, 310.15
20.56, 310.15
20.7685, 310.15
21.2365, 310.15
21.2616, 310.15
21.3576, 310.15
21.5132, 310.15
21.5541, 310.15
21.9533, 310.15
21.9687, 310.15
21.9862, 310.15
22.0066, 310.15
22.3569, 310.15
22.522, 310.15
22.6058, 310.15
22.7228, 310.15
22.7782, 310.15
23.1539, 310.15
23.3694, 310.15
23.5918, 310.15
23.6153, 310.15
23.9394, 310.15
24.4533, 310.15
24.4596, 310.15
24.4783, 310.15
24.4868, 310.15
24.5079, 310.15
25.0712, 310.15
25.2414, 310.15
25.6351, 310.15
25.653, 310.15
25.6556, 310.15
25.6639, 310.15
25.7311, 310.15
26.2878, 310.15
26.3034, 310.15
26.5424, 310.15
26.5861, 310.15
26.8626, 310.15
26.9736, 310.15
26.9869, 310.15
27.0124, 310.15
27.2725, 310.15
27.7286, 310.15
27.744, 310.15
27.7505, 310.15
27.7626, 310.15
27.765, 310.15
27.91, 310.15
28.1905, 310.15
28.2279, 310.15
28.2509, 310.15
28.5253, 310.15
28.9023, 310.15
28.9629, 310.15
28.9778, 310.15
29.0202, 310.15
29.7016, 310.15
29.8002, 310.15
29.8264, 310.15
29.827, 310.15
29.8276, 310.15
29.8283, 310.15
29.8445, 310.15
29.8558, 310.15
30.7022, 310.15
30.7227, 310.15
30.756, 310.15
30.8089, 310.15
30.8484, 310.15
31.2431, 310.15
31.6234, 310.15
31.6427, 310.15
31.7687, 310.15
32.1687, 310.15
32.1833, 310.15
32.3161, 310.15
32.5916, 310.15
32.6117, 310.15
32.7003, 310.15
32.7214, 310.15
33.5843, 310.15
33.5857, 310.15
33.5871, 310.15
33.6011, 310.15
33.6091, 310.15
33.6168, 310.15
34.0711, 310.15
34.5658, 310.15
34.5892, 310.15
34.6024, 310.15
34.6168, 310.15
34.6447, 310.15
35.3334, 310.15
35.362, 310.15
35.5618, 310.15
35.5768, 310.15
35.5968, 310.15
35.9944, 310.15
36.3099, 310.15
36.3345, 310.15
36.4708, 310.15
36.4879, 310.15
36.5737, 310.15
37.3233, 310.15
37.3492, 310.15
37.3532, 310.15
37.3709, 310.15
37.3833, 310.15
37.9815, 310.15
38.0038, 310.15
38.2486, 310.151
38.2635, 310.151
38.5332, 310.151
38.5399, 310.151
39.0649, 310.151
39.1238, 310.151
39.1439, 310.151
39.1672, 310.151
39.1941, 310.151
39.2164, 310.151
39.6856, 310.151
39.9222, 310.151
40.1366, 310.151
40.42, 310.151
40.5394, 310.151
40.5581, 310.151
40.6848, 310.151
41.1187, 310.152
41.1355, 310.152
41.2761, 310.152
41.2963, 310.152
41.5388, 310.152
41.5552, 310.152
41.8187, 310.152
41.8338, 310.152
42.0414, 310.152
42.0588, 310.152
42.4333, 310.153
42.6218, 310.153
42.6415, 310.153
42.9423, 310.153
42.9613, 310.154
43.1446, 310.154
43.5457, 310.155
43.6701, 310.155
43.6849, 310.155
44.1415, 310.156
44.1998, 310.156
44.2069, 310.156
44.2713, 310.156
44.3157, 310.156
44.8471, 310.158
44.867, 310.158
45.2324, 310.159
45.4789, 310.16
45.4932, 310.16
45.829, 310.162
46.1489, 310.163
46.1686, 310.163
46.5528, 310.166
