X,T
2.64698e-17, 310.15
0.408211, 310.15
0.413888, 310.15
0.436272, 310.15
0.543763, 310.15
0.550353, 310.15
0.683195, 310.15
1.02372, 310.15
1.32469, 310.15
1.5473, 310.15
2.01328, 310.15
2.04474, 310.15
2.20296, 310.15
2.22574, 310.15
2.33151, 310.15
2.94903, 310.15
3.06938, 310.15
3.25535, 310.15
3.38867, 310.15
3.75239, 310.15
4.0802, 310.15
4.1303, 310.15
4.22192, 310.15
4.44732, 310.15
4.78723, 310.15
5.08277, 310.15
5.296, 310.15
5.58011, 310.15
5.66305, 310.15
6.27218, 310.15
6.4558, 310.15
6.4929, 310.15
6.55661, 310.15
6.69945, 310.15
7.12967, 310.15
7.2544, 310.15
7.56998, 310.15
7.76618, 310.15
7.90373, 310.15
8.06503, 310.15
8.48283, 310.15
8.6519, 310.15
8.82698, 310.15
9.15647, 310.15
9.28235, 310.15
9.78779, 310.15
9.85919, 310.15
10.024, 310.15
10.0986, 310.15
10.3599, 310.15
10.4731, 310.15
10.7345, 310.15
11.3822, 310.15
11.3994, 310.15
11.434, 310.15
11.5279, 310.15
11.5651, 310.15
11.7412, 310.15
12.1595, 310.15
12.249, 310.15
12.4105, 310.15
12.7062, 310.15
12.8371, 310.15
12.8623, 310.15
12.9896, 310.15
13.3058, 310.15
13.6278, 310.15
13.7848, 310.15
14.0934, 310.15
14.6225, 310.15
14.7041, 310.15
14.7525, 310.15
14.7585, 310.15
14.7635, 310.15
14.7812, 310.15
15.1199, 310.15
15.5151, 310.15
15.7695, 310.15
15.9655, 310.15
16.182, 310.15
16.2751, 310.15
16.5094, 310.15
16.8395, 310.15
16.9397, 310.15
17.133, 310.15
17.2385, 310.15
17.6621, 310.15
17.9091, 310.15
18.2424, 310.15
18.4044, 310.15
18.6456, 310.15
19.0361, 310.15
19.2058, 310.15
19.3658, 310.15
19.399, 310.15
19.4497, 310.15
20.0362, 310.15
20.1718, 310.15
20.1881, 310.15
20.4618, 310.15
20.5965, 310.15
20.8689, 310.15
21.3503, 310.15
21.3699, 310.15
21.6542, 310.15
22.0504, 310.15
22.0605, 310.15
22.0666, 310.15
22.3303, 310.15
22.341, 310.15
22.3751, 310.15
22.8233, 310.15
22.986, 310.15
23.3423, 310.15
23.4795, 310.15
23.8936, 310.15
24.195, 310.15
24.2023, 310.15
24.3135, 310.15
24.3714, 310.15
24.3729, 310.15
24.4895, 310.15
24.9026, 310.15
24.9761, 310.15
25.0834, 310.15
25.3735, 310.15
25.6209, 310.15
25.7647, 310.15
25.8583, 310.15
25.9608, 310.15
26.0389, 310.15
26.1466, 310.15
26.3096, 310.15
26.698, 310.15
26.7438, 310.15
27.3156, 310.15
27.3182, 310.15
27.3209, 310.15
27.8235, 310.15
27.9359, 310.15
28.1537, 310.15
28.2877, 310.15
28.4103, 310.15
28.6342, 310.15
28.8341, 310.15
29.0442, 310.15
29.2348, 310.15
29.379, 310.15
29.5742, 310.15
29.7388, 310.15
29.949, 310.15
30.04, 310.15
30.1186, 310.15
30.4099, 310.15
30.5675, 310.15
30.8289, 310.15
31.1072, 310.15
31.3499, 310.15
31.7508, 310.15
31.8351, 310.15
31.8808, 310.15
31.9587, 310.15
32.0133, 310.15
32.0419, 310.15
32.0882, 310.15
32.5368, 310.15
32.7921, 310.15
32.9531, 310.15
33.2462, 310.15
33.3608, 310.15
33.8633, 310.15
33.9657, 310.15
34.1016, 310.15
34.3006, 310.15
34.3818, 310.15
34.5267, 310.15
34.6535, 310.15
35.0179, 310.15
35.1556, 310.15
35.2058, 310.15
35.2645, 310.15
35.441, 310.15
35.5564, 310.15
35.8267, 310.15
35.9819, 310.15
36.07, 310.15
36.697, 310.15
36.812, 310.15
36.9797, 310.15
37.2601, 310.15
37.5376, 310.15
37.7534, 310.15
38.1598, 310.151
38.4672, 310.151
38.4817, 310.151
38.6263, 310.151
38.796, 310.151
39.0068, 310.151
39.2496, 310.151
39.4952, 310.151
39.8982, 310.151
39.9158, 310.151
