lambda,Pabs
350, 0.834897
351, 0.824803
352, 0.813283
353, 0.800578
354, 0.786932
355, 0.77259
356, 0.757795
357, 0.74278
358, 0.727767
359, 0.712953
360, 0.698512
361, 0.684582
362, 0.671271
363, 0.658654
364, 0.646781
365, 0.635682
366, 0.625377
367, 0.615877
368, 0.607194
369, 0.59934
370, 0.592331
371, 0.586181
372, 0.580899
373, 0.576494
374, 0.572962
375, 0.570293
376, 0.568468
377, 0.567463
378, 0.567248
379, 0.567795
380, 0.569077
381, 0.571072
382, 0.573764
383, 0.577143
384, 0.581201
385, 0.585933
386, 0.591332
387, 0.597388
388, 0.604083
389, 0.611394
390, 0.619286
391, 0.627719
392, 0.636646
393, 0.646014
394, 0.655767
395, 0.665846
396, 0.67619
397, 0.686737
398, 0.697424
399, 0.708185
400, 0.718949
401, 0.729643
402, 0.740185
403, 0.75049
404, 0.760469
405, 0.770027
406, 0.77907
407, 0.787504
408, 0.795238
409, 0.80219
410, 0.808285
411, 0.813459
412, 0.817664
413, 0.820864
414, 0.823037
415, 0.824174
416, 0.824282
417, 0.823377
418, 0.821486
419, 0.818645
420, 0.8149
421, 0.810301
422, 0.804904
423, 0.79877
424, 0.791965
425, 0.784557
426, 0.776619
427, 0.768222
428, 0.759441
429, 0.750351
430, 0.741023
431, 0.73153
432, 0.721937
433, 0.712308
434, 0.7027
435, 0.693164
436, 0.683746
437, 0.674486
438, 0.665417
439, 0.656568
440, 0.647965
441, 0.639628
442, 0.631575
443, 0.623822
444, 0.616385
445, 0.609277
446, 0.602509
447, 0.596093
448, 0.590039
449, 0.584353
450, 0.579041
451, 0.574107
452, 0.56955
453, 0.565367
454, 0.561552
455, 0.558095
456, 0.554984
457, 0.552202
458, 0.54973
459, 0.547546
460, 0.545626
461, 0.543943
462, 0.542468
463, 0.541172
464, 0.540021
465, 0.538983
466, 0.538023
467, 0.537107
468, 0.5362
469, 0.535269
470, 0.534282
471, 0.533208
472, 0.532022
473, 0.530698
474, 0.529217
475, 0.527564
476, 0.525727
477, 0.5237
478, 0.521482
479, 0.519074
480, 0.516483
481, 0.51372
482, 0.510798
483, 0.507733
484, 0.504543
485, 0.501249
486, 0.497872
487, 0.494434
488, 0.490957
489, 0.487464
490, 0.483977
491, 0.480516
492, 0.477102
493, 0.473754
494, 0.470489
495, 0.467321
496, 0.464264
497, 0.461329
498, 0.458524
499, 0.455857
500, 0.45333
501, 0.450947
502, 0.448704
503, 0.446601
504, 0.444631
505, 0.442786
506, 0.441059
507, 0.439437
508, 0.437908
509, 0.436457
510, 0.435069
511, 0.433727
512, 0.432414
513, 0.43111
514, 0.429795
515, 0.42845
516, 0.427053
517, 0.425584
518, 0.42402
519, 0.422341
520, 0.420523
521, 0.418547
522, 0.416392
523, 0.414037
524, 0.411464
525, 0.408655
526, 0.405595
527, 0.40227
528, 0.398667
529, 0.394779
530, 0.390598
531, 0.386121
532, 0.381348
533, 0.37628
534, 0.370924
535, 0.365289
536, 0.359385
537, 0.353229
538, 0.346836
539, 0.340226
540, 0.333421
541, 0.326444
542, 0.319319
543, 0.312072
544, 0.304729
545, 0.297315
546, 0.289856
547, 0.282379
548, 0.274906
549, 0.267461
550, 0.260066
551, 0.252741
552, 0.245505
553, 0.238374
554, 0.231363
555, 0.224486
556, 0.217754
557, 0.211175
558, 0.204758
559, 0.198509
560, 0.192432
561, 0.18653
562, 0.180806
563, 0.175261
564, 0.169894
565, 0.164704
566, 0.15969
567, 0.15485
568, 0.150181
569, 0.14568
570, 0.141343
571, 0.137167
572, 0.133147
573, 0.12928
574, 0.12556
575, 0.121985
576, 0.118549
577, 0.115248
578, 0.112077
579, 0.109033
580, 0.10611
581, 0.103305
582, 0.100612
583, 0.0980286
584, 0.0955496
585, 0.093171
586, 0.0908889
587, 0.0886995
588, 0.0865989
589, 0.0845834
590, 0.0826497
591, 0.0807941
592, 0.0790136
593, 0.0773048
594, 0.0756649
595, 0.074091
596, 0.0725802
597, 0.07113
598, 0.0697379
599, 0.0684014
600, 0.0671184
601, 0.0658866
602, 0.0647039
603, 0.0635685
604, 0.0624785
605, 0.061432
606, 0.0604273
607, 0.0594628
608, 0.0585371
609, 0.0576485
610, 0.0567957
611, 0.0559773
612, 0.0551921
613, 0.0544388
614, 0.0537163
615, 0.0530234
616, 0.0523591
617, 0.0517224
618, 0.0511123
619, 0.050528
620, 0.0499685
621, 0.0494331
622, 0.048921
623, 0.0484314
624, 0.0479636
625, 0.047517
626, 0.0470908
627, 0.0466846
628, 0.0462976
629, 0.0459294
630, 0.0455793
631, 0.0452469
632, 0.0449316
633, 0.044633
634, 0.0443505
635, 0.0440837
636, 0.0438322
637, 0.0435955
638, 0.0433732
639, 0.0431648
640, 0.0429701
641, 0.0427886
642, 0.0426199
643, 0.0424637
644, 0.0423196
645, 0.0421873
646, 0.0420666
647, 0.041957
648, 0.0418584
