lambda,Pabs
350, 0.892699
351, 0.880861
352, 0.867614
353, 0.85323
354, 0.83798
355, 0.822133
356, 0.80595
357, 0.789672
358, 0.773519
359, 0.757682
360, 0.74232
361, 0.727557
362, 0.713492
363, 0.700191
364, 0.687706
365, 0.676071
366, 0.665309
367, 0.655438
368, 0.646475
369, 0.638429
370, 0.631309
371, 0.625119
372, 0.61986
373, 0.615526
374, 0.612108
375, 0.609589
376, 0.607951
377, 0.607173
378, 0.607229
379, 0.608098
380, 0.609757
381, 0.612187
382, 0.615371
383, 0.619294
384, 0.623945
385, 0.629309
386, 0.635374
387, 0.642122
388, 0.649528
389, 0.657564
390, 0.666195
391, 0.675376
392, 0.685058
393, 0.695187
394, 0.705704
395, 0.716545
396, 0.727645
397, 0.738935
398, 0.750342
399, 0.761791
400, 0.773201
401, 0.784487
402, 0.795557
403, 0.806318
404, 0.816671
405, 0.826516
406, 0.835753
407, 0.844288
408, 0.852028
409, 0.858892
410, 0.864809
411, 0.869717
412, 0.873572
413, 0.876341
414, 0.878007
415, 0.878565
416, 0.878026
417, 0.876411
418, 0.873756
419, 0.870102
420, 0.865503
421, 0.860019
422, 0.853715
423, 0.846662
424, 0.838935
425, 0.830611
426, 0.821769
427, 0.812486
428, 0.802842
429, 0.792912
430, 0.782771
431, 0.77249
432, 0.762136
433, 0.751769
434, 0.741448
435, 0.731224
436, 0.721143
437, 0.711246
438, 0.701568
439, 0.69214
440, 0.682986
441, 0.674131
442, 0.665592
443, 0.657386
444, 0.649525
445, 0.642023
446, 0.634889
447, 0.628132
448, 0.621759
449, 0.615774
450, 0.610182
451, 0.604982
452, 0.600173
453, 0.595751
454, 0.591708
455, 0.588033
456, 0.584713
457, 0.581731
458, 0.579067
459, 0.576697
460, 0.574597
461, 0.572739
462, 0.571092
463, 0.569625
464, 0.568304
465, 0.567095
466, 0.565963
467, 0.564872
468, 0.563786
469, 0.562673
470, 0.5615
471, 0.560237
472, 0.558856
473, 0.557335
474, 0.555653
475, 0.553797
476, 0.551757
477, 0.549526
478, 0.547104
479, 0.544495
480, 0.541707
481, 0.538752
482, 0.535644
483, 0.532402
484, 0.529045
485, 0.525594
486, 0.522072
487, 0.518502
488, 0.514908
489, 0.51131
490, 0.507732
491, 0.504195
492, 0.500718
493, 0.497319
494, 0.494015
495, 0.490819
496, 0.487745
497, 0.484802
498, 0.481998
499, 0.479338
500, 0.476827
501, 0.474465
502, 0.472249
503, 0.470178
504, 0.468244
505, 0.46644
506, 0.464756
507, 0.46318
508, 0.461698
509, 0.460295
510, 0.458954
511, 0.457658
512, 0.456387
513, 0.455119
514, 0.453835
515, 0.452511
516, 0.451126
517, 0.449655
518, 0.448075
519, 0.446363
520, 0.444495
521, 0.442449
522, 0.440203
523, 0.437735
524, 0.435025
525, 0.432056
526, 0.428811
527, 0.425276
528, 0.42144
529, 0.417294
530, 0.412832
531, 0.408052
532, 0.402954
533, 0.397542
534, 0.391824
535, 0.385809
536, 0.379511
537, 0.372948
538, 0.366137
539, 0.3591
540, 0.351861
541, 0.344445
542, 0.336878
543, 0.329186
544, 0.321399
545, 0.313542
546, 0.305644
547, 0.297731
548, 0.289828
549, 0.28196
550, 0.27415
551, 0.266419
552, 0.258785
553, 0.251266
