lambda,Pabs
350, 0.90396
351, 0.899055
352, 0.891982
353, 0.882915
354, 0.872101
355, 0.859782
356, 0.846216
357, 0.831694
358, 0.81648
359, 0.800776
360, 0.784837
361, 0.768949
362, 0.753295
363, 0.738026
364, 0.723281
365, 0.709165
366, 0.695759
367, 0.683124
368, 0.671311
369, 0.660353
370, 0.650254
371, 0.641005
372, 0.632621
373, 0.625135
374, 0.618564
375, 0.612911
376, 0.608167
377, 0.604318
378, 0.601347
379, 0.599233
380, 0.597953
381, 0.597485
382, 0.597809
383, 0.598905
384, 0.600757
385, 0.603362
386, 0.606751
387, 0.610774
388, 0.615481
389, 0.620881
390, 0.626949
391, 0.63366
392, 0.640983
393, 0.648887
394, 0.657333
395, 0.666278
396, 0.675677
397, 0.685478
398, 0.695629
399, 0.706073
400, 0.716751
401, 0.727597
402, 0.738541
403, 0.749512
404, 0.760432
405, 0.771223
406, 0.781794
407, 0.79206
408, 0.80192
409, 0.811285
410, 0.820064
411, 0.828166
412, 0.835502
413, 0.842001
414, 0.847599
415, 0.852238
416, 0.855873
417, 0.858485
418, 0.860054
419, 0.860569
420, 0.860047
421, 0.858506
422, 0.855964
423, 0.852472
424, 0.848071
425, 0.842808
426, 0.836757
427, 0.829972
428, 0.822527
429, 0.814503
430, 0.805963
431, 0.796999
432, 0.787678
433, 0.778079
434, 0.768279
435, 0.758338
436, 0.748334
437, 0.738312
438, 0.728341
439, 0.718457
440, 0.708716
441, 0.699147
442, 0.689791
443, 0.680673
444, 0.671825
445, 0.663264
446, 0.655015
447, 0.647088
448, 0.639507
449, 0.632272
450, 0.625404
451, 0.618898
452, 0.612769
453, 0.607008
454, 0.601622
455, 0.596601
456, 0.59194
457, 0.587637
458, 0.583669
459, 0.580003
460, 0.576561
461, 0.573369
462, 0.570434
463, 0.567711
464, 0.56517
465, 0.562769
466, 0.56047
467, 0.558245
468, 0.556052
469, 0.553858
470, 0.551638
471, 0.549355
472, 0.546983
473, 0.544504
474, 0.541893
475, 0.539133
476, 0.53622
477, 0.533142
478, 0.529893
479, 0.526481
480, 0.522912
481, 0.519189
482, 0.515328
483, 0.51135
484, 0.50727
485, 0.503105
486, 0.49888
487, 0.494624
488, 0.490356
489, 0.486101
490, 0.481884
491, 0.477735
492, 0.473671
493, 0.469693
494, 0.465826
495, 0.462052
496, 0.458256
497, 0.454635
498, 0.451185
499, 0.44791
500, 0.444812
501, 0.441893
502, 0.439152
503, 0.436588
504, 0.434196
505, 0.431973
506, 0.429914
507, 0.42801
508, 0.426252
509, 0.424631
510, 0.423135
511, 0.421751
512, 0.420466
513, 0.419266
514, 0.418133
515, 0.417052
516, 0.416003
517, 0.414968
518, 0.413928
519, 0.412863
520, 0.411753
521, 0.410578
522, 0.409318
523, 0.407951
524, 0.406457
525, 0.404817
526, 0.403011
527, 0.40102
528, 0.398826
529, 0.396411
530, 0.393762
531, 0.390864
532, 0.387705
533, 0.384276
534, 0.380569
535, 0.376579
536, 0.372305
537, 0.367746
538, 0.362906
539, 0.357792
540, 0.352413
541, 0.346781
542, 0.34091
543, 0.334819
544, 0.328525
545, 0.322051
546, 0.315419
547, 0.308651
548, 0.301773
549, 0.294809
550, 0.287783
551, 0.28072
552, 0.273642
553, 0.266573
554, 0.259533
555, 0.252542
556, 0.245618
557, 0.238778
558, 0.232037
559, 0.225409
560, 0.218905
561, 0.212535
562, 0.20631
563, 0.200238
564, 0.194327
565, 0.188589
566, 0.183047
567, 0.177789
568, 0.173442
569, 0.171039
570, 0.162804
571, 0.157588
572, 0.152858
573, 0.148353
574, 0.144024
575, 0.139856
576, 0.135842
577, 0.131977
578, 0.128258
579, 0.124681
580, 0.121242
581, 0.117935
582, 0.114756
583, 0.1117
584, 0.108762
585, 0.105939
586, 0.103228
587, 0.100624
588, 0.0981233
589, 0.0957226
590, 0.0934168
591, 0.0912021
592, 0.089075
593, 0.0870327
594, 0.0850723
595, 0.0831903
596, 0.0813829
597, 0.0796465
598, 0.0779785
599, 0.0763767
600, 0.0748389
601, 0.0733621
602, 0.0719431
603, 0.0705795
604, 0.0692695
605, 0.0680116
606, 0.0668036
607, 0.0656429
608, 0.0645273
609, 0.0634557
610, 0.0624268
611, 0.0614389
612, 0.0604898
613, 0.0595779
614, 0.0587025
615, 0.0578625
616, 0.0570563
617, 0.0562822
618, 0.0555393
619, 0.0548271
620, 0.0541444
621, 0.0534897
622, 0.0528619
623, 0.0522607
624, 0.0516856
625, 0.0511349
626, 0.0506076
627, 0.0501036
628, 0.0496227
629, 0.0491632
630, 0.048724
631, 0.0483055
632, 0.0479079
633, 0.0475288
634, 0.0471666
635, 0.0468251
636, 0.0465066
637, 0.0462015
638, 0.0460622
639, 0.0456607
640, 0.0453675
641, 0.0451154
642, 0.0448864
643, 0.0446696
644, 0.0444656
645, 0.044277
646, 0.0441015
647, 0.0439376
648, 0.0437872
649, 0.0436494
650, 0.0435224
651, 0.0434074
652, 0.0433044
653, 0.0432117
654, 0.0431297
655, 0.0430592
656, 0.0429984
657, 0.0429473
658, 0.0429071
659, 0.042876
660, 0.0428539
661, 0.042842
662, 0.0428388
663, 0.0428437
664, 0.0428584
665, 0.042881
666, 0.0429114
667, 0.0429507
668, 0.0429975
669, 0.0430511
670, 0.0431133
671, 0.043182
672, 0.0432572
673, 0.0433404
674, 0.043429
675, 0.0435238
676, 0.0436257
677, 0.043732
678, 0.0438442
679, 0.0439624
680, 0.0440839
681, 0.0442112
682, 0.0443428
683, 0.0444771
684, 0.0446168
685, 0.0447587
686, 0.0449033
687, 0.045052
688, 0.045201
689, 0.0453531
690, 0.0455069
691, 0.0456602
692, 0.0458164
693, 0.0459711
694, 0.0461261
695, 0.0462817
696, 0.046434
697, 0.0465873
698, 0.0467373
699, 0.0468848
700, 0.0470314


