lambda,Pabs
350, 0.748138
351, 0.760339
352, 0.774281
353, 0.789858
354, 0.805904
355, 0.820433
356, 0.83139
357, 0.837606
358, 0.839199
359, 0.837262
360, 0.833285
361, 0.828558
362, 0.823643
363, 0.818179
364, 0.811225
365, 0.801817
366, 0.789398
367, 0.77406
368, 0.75661
369, 0.738339
370, 0.720538
371, 0.7041
372, 0.68941
373, 0.676399
374, 0.664618
375, 0.653399
376, 0.642139
377, 0.630529
378, 0.618608
379, 0.606688
380, 0.595271
381, 0.584941
382, 0.576193
383, 0.569286
384, 0.564229
385, 0.560842
386, 0.558805
387, 0.557695
388, 0.557074
389, 0.55662
390, 0.556201
391, 0.555857
392, 0.555757
393, 0.556169
394, 0.557418
395, 0.559793
396, 0.56347
397, 0.568479
398, 0.574737
399, 0.582069
400, 0.590213
401, 0.598853
402, 0.607695
403, 0.616534
404, 0.625284
405, 0.633958
406, 0.642646
407, 0.65151
408, 0.660745
409, 0.670517
410, 0.680908
411, 0.691886
412, 0.703327
413, 0.715035
414, 0.726746
415, 0.738152
416, 0.748952
417, 0.758909
418, 0.767887
419, 0.775844
420, 0.782807
421, 0.788853
422, 0.794092
423, 0.798635
424, 0.802559
425, 0.805868
426, 0.808494
427, 0.810318
428, 0.811209
429, 0.811035
430, 0.809687
431, 0.807092
432, 0.803243
433, 0.798216
434, 0.792155
435, 0.785248
436, 0.777686
437, 0.769652
438, 0.761313
439, 0.752803
440, 0.744221
441, 0.73561
442, 0.726974
443, 0.718288
444, 0.709527
445, 0.700675
446, 0.691732
447, 0.682708
448, 0.673632
449, 0.66456
450, 0.655571
451, 0.646763
452, 0.63823
453, 0.630053
454, 0.622292
455, 0.614992
456, 0.60818
457, 0.601864
458, 0.596025
459, 0.590622
460, 0.585592
461, 0.580868
462, 0.576384
463, 0.572078
464, 0.567891
465, 0.563768
466, 0.559658
467, 0.555526
468, 0.551353
469, 0.547131
470, 0.542859
471, 0.538536
472, 0.53416
473, 0.529731
474, 0.525249
475, 0.520717
476, 0.516135
477, 0.511496
478, 0.506785
479, 0.501989
480, 0.497091
481, 0.49208
482, 0.486951
483, 0.481698
484, 0.47632
485, 0.470817
486, 0.465198
487, 0.459478
488, 0.453682
489, 0.447843
490, 0.441993
491, 0.436169
492, 0.430405
493, 0.424736
494, 0.419197
495, 0.413821
496, 0.408638
497, 0.403671
498, 0.398934
499, 0.394437
500, 0.390179
501, 0.386159
502, 0.382371
503, 0.378806
504, 0.375451
505, 0.372288
506, 0.3693
507, 0.366468
508, 0.363775
509, 0.361209
510, 0.35876
511, 0.35642
512, 0.354182
513, 0.352044
514, 0.35
515, 0.348049
516, 0.346192
517, 0.34443
518, 0.342763
519, 0.341188
520, 0.3397
521, 0.338289
522, 0.336943
523, 0.335646
524, 0.33438
525, 0.333125
526, 0.331859
527, 0.330557
528, 0.329192
529, 0.327738
530, 0.326167
531, 0.324455
532, 0.322582
533, 0.320531
534, 0.318288
535, 0.315844
536, 0.313193
537, 0.310332
538, 0.307261
539, 0.303983
540, 0.300506
541, 0.296838
542, 0.292989
543, 0.288971
544, 0.284791
545, 0.280461
546, 0.275988
547, 0.271379
548, 0.266643
549, 0.261788
550, 0.256822
551, 0.251755
552, 0.246595
