lambda,Pabs
350, 0.836782
351, 0.82666
352, 0.81511
353, 0.802373
354, 0.788694
355, 0.77432
356, 0.759492
357, 0.744444
358, 0.729397
359, 0.714551
360, 0.700077
361, 0.686117
362, 0.672776
363, 0.660132
364, 0.648234
365, 0.637112
366, 0.626785
367, 0.617265
368, 0.608564
369, 0.600694
370, 0.59367
371, 0.587507
372, 0.582216
373, 0.577803
374, 0.574266
375, 0.571594
376, 0.569768
377, 0.568762
378, 0.568548
379, 0.569096
380, 0.570381
381, 0.572381
382, 0.575079
383, 0.578467
384, 0.582536
385, 0.587282
386, 0.592696
387, 0.598769
388, 0.605482
389, 0.61281
390, 0.620721
391, 0.629174
392, 0.638121
393, 0.64751
394, 0.657284
395, 0.667385
396, 0.677753
397, 0.688326
398, 0.699038
399, 0.709825
400, 0.720615
401, 0.731332
402, 0.741898
403, 0.752226
404, 0.762226
405, 0.771805
406, 0.780866
407, 0.789318
408, 0.797068
409, 0.804033
410, 0.81014
411, 0.815325
412, 0.819538
413, 0.822744
414, 0.824919
415, 0.826057
416, 0.826163
417, 0.825253
418, 0.823356
419, 0.820507
420, 0.816752
421, 0.81214
422, 0.80673
423, 0.800581
424, 0.793759
425, 0.786334
426, 0.778376
427, 0.769959
428, 0.761157
429, 0.752046
430, 0.742697
431, 0.733182
432, 0.723567
433, 0.713917
434, 0.704287
435, 0.69473
436, 0.685291
437, 0.67601
438, 0.666921
439, 0.658053
440, 0.64943
441, 0.641074
442, 0.633002
443, 0.625232
444, 0.617778
445, 0.610654
446, 0.603871
447, 0.597441
448, 0.591373
449, 0.585676
450, 0.580353
451, 0.575409
452, 0.570843
453, 0.566652
454, 0.56283
455, 0.559366
456, 0.556248
457, 0.553459
458, 0.550982
459, 0.548792
460, 0.546868
461, 0.545181
462, 0.543703
463, 0.542404
464, 0.541251
465, 0.540211
466, 0.539249
467, 0.538332
468, 0.537424
469, 0.536492
470, 0.535503
471, 0.534428
472, 0.533239
473, 0.531913
474, 0.530429
475, 0.528773
476, 0.526932
477, 0.524901
478, 0.522677
479, 0.520264
480, 0.517668
481, 0.514899
482, 0.51197
483, 0.508898
484, 0.505702
485, 0.5024
486, 0.499015
487, 0.495569
488, 0.492085
489, 0.488584
490, 0.485088
491, 0.48162
492, 0.478198
493, 0.474843
494, 0.47157
495, 0.468395
496, 0.465331
497, 0.46239
498, 0.45958
499, 0.456907
500, 0.454375
501, 0.451986
502, 0.449739
503, 0.447631
504, 0.445656
505, 0.443808
506, 0.442076
507, 0.44045
508, 0.438917
509, 0.437463
510, 0.436071
511, 0.434726
512, 0.433409
513, 0.432101
514, 0.430784
515, 0.429435
516, 0.428035
517, 0.426562
518, 0.424995
519, 0.423312
520, 0.42149
521, 0.41951
522, 0.417349
523, 0.414989
524, 0.412409
525, 0.409594
526, 0.406526
527, 0.403193
528, 0.399582
529, 0.395684
530, 0.391493
531, 0.387005
532, 0.38222
533, 0.37714
534, 0.371771
535, 0.366122
536, 0.360204
537, 0.354033
538, 0.347625
539, 0.341
540, 0.334179
541, 0.327186
542, 0.320045
543, 0.312781
544, 0.305421
545, 0.29799
546, 0.290515
547, 0.28302
548, 0.27553
549, 0.268068
550, 0.260656
551, 0.253314
552, 0.246062
553, 0.238915
554, 0.231888
555, 0.224995
556, 0.218247
557, 0.211653
558, 0.205222
559, 0.198958
560, 0.192867
561, 0.186952
562, 0.181215
563, 0.175657
564, 0.170278
565, 0.165077
566, 0.160052
567, 0.155201
568, 0.150521
569, 0.14601
570, 0.141663
571, 0.137478
572, 0.133449
573, 0.129573
574, 0.125845
575, 0.122261
576, 0.118818
577, 0.115509
578, 0.112332
579, 0.10928
580, 0.106351
581, 0.103539
582, 0.100841
583, 0.0982516
584, 0.0957669
585, 0.093383
586, 0.0910958
587, 0.0889014
588, 0.0867961
589, 0.0847761
590, 0.0828379
591, 0.0809782
592, 0.0791936
593, 0.077481
594, 0.0758373
595, 0.0742598
596, 0.0727456
597, 0.071292
598, 0.0698967
599, 0.0685572
600, 0.0672712
601, 0.0660366
602, 0.0648513
603, 0.0637133
604, 0.0626208
605, 0.0615719
606, 0.060565
607, 0.0595984
608, 0.0586706
609, 0.05778
610, 0.0569254
611, 0.0561052
612, 0.0553182
613, 0.0545633
614, 0.0538392
615, 0.0531447
616, 0.052479
617, 0.0518409
618, 0.0512295
619, 0.0506438
620, 0.0500831
621, 0.0495465
622, 0.0490332
623, 0.0485425
624, 0.0480736
625, 0.0476259
626, 0.0471988
627, 0.0467916
628, 0.0464037
629, 0.0460346
630, 0.0456837
631, 0.0453505
632, 0.0450345
633, 0.0447352
634, 0.0444521
635, 0.0441847
636, 0.0439326
637, 0.0436953
638, 0.0434725
639, 0.0432637
640, 0.0430686
641, 0.0428866
642, 0.0427176
643, 0.042561
644, 0.0424166
645, 0.0422841
646, 0.0421631
647, 0.0420533
648, 0.0419545
649, 0.0418663
650, 0.0417885
651, 0.0417208
652, 0.041663
653, 0.0416149
654, 0.0415763
655, 0.0415468
656, 0.0415263
657, 0.0415147
658, 0.0415116
659, 0.0415169
660, 0.0415304
661, 0.0415518
662, 0.0415811
663, 0.0416179
664, 0.041662
665, 0.0417133
666, 0.0417714
667, 0.0418363
668, 0.0419076
669, 0.0419851
670, 0.0420685
671, 0.0421576
672, 0.0422521
673, 0.0423517
674, 0.0424562
675, 0.0425652
676, 0.0426785
677, 0.0427956
678, 0.0429164
679, 0.0430403
680, 0.0431672
681, 0.0432967
682, 0.0434283
683, 0.0435617
684, 0.0436965
685, 0.0438324
686, 0.0439689
687, 0.0441056
688, 0.0442422
689, 0.0443781
690, 0.0445129
691, 0.0446463
692, 0.0447777
693, 0.0449068
694, 0.045033
695, 0.045156
696, 0.0452752
697, 0.0453902
698, 0.0455006
699, 0.0456059
700, 0.0457056


