lambda,Pabs
350, 0.365857
351, 0.365483
352, 0.365023
353, 0.364521
354, 0.363975
355, 0.363354
356, 0.362705
357, 0.362005
358, 0.361242
359, 0.360448
360, 0.359594
361, 0.358692
362, 0.357759
363, 0.356767
364, 0.355749
365, 0.354718
366, 0.353642
367, 0.35255
368, 0.35146
369, 0.350342
370, 0.349221
371, 0.348104
372, 0.34696
373, 0.345811
374, 0.34467
375, 0.343515
376, 0.342355
377, 0.341217
378, 0.340079
379, 0.338944
380, 0.337842
381, 0.336757
382, 0.335683
383, 0.334648
384, 0.333641
385, 0.332647
386, 0.331682
387, 0.330752
388, 0.329835
389, 0.328941
390, 0.328081
391, 0.327245
392, 0.326427
393, 0.325644
394, 0.324897
395, 0.324173
396, 0.323484
397, 0.322836
398, 0.32222
399, 0.32163
400, 0.321077
401, 0.32056
402, 0.320072
403, 0.319608
404, 0.31917
405, 0.318757
406, 0.318363
407, 0.317993
408, 0.317648
409, 0.317321
410, 0.317011
411, 0.316728
412, 0.316472
413, 0.316234
414, 0.316015
415, 0.315825
416, 0.315657
417, 0.315506
418, 0.315375
419, 0.315263
420, 0.315163
421, 0.315081
422, 0.315013
423, 0.314949
424, 0.314898
425, 0.314861
426, 0.314829
427, 0.314812
428, 0.314799
429, 0.314801
430, 0.314823
431, 0.314848
432, 0.314892
433, 0.314953
434, 0.315033
435, 0.315129
436, 0.315234
437, 0.315363
438, 0.315507
439, 0.315675
440, 0.315847
441, 0.316039
442, 0.316248
443, 0.316481
444, 0.31672
445, 0.316978
446, 0.31725
447, 0.317552
448, 0.317867
449, 0.3182
450, 0.318544
451, 0.31892
452, 0.319311
453, 0.319721
454, 0.320136
455, 0.320562
456, 0.321006
457, 0.321447
458, 0.321886
459, 0.322303
460, 0.322706
461, 0.323089
462, 0.323429
463, 0.323722
464, 0.32395
465, 0.324112
466, 0.324206
467, 0.324204
468, 0.3241
469, 0.323884
470, 0.323549
471, 0.323095
472, 0.322508
473, 0.321772
474, 0.320888
475, 0.31986
476, 0.318678
477, 0.317343
478, 0.315852
479, 0.314199
480, 0.31239
481, 0.310436
482, 0.308337
483, 0.306089
484, 0.303697
485, 0.301172
486, 0.298523
487, 0.295753
488, 0.29287
489, 0.289882
490, 0.286792
491, 0.283611
492, 0.280351
493, 0.277022
494, 0.273628
495, 0.270172
496, 0.266661
497, 0.263111
498, 0.259532
499, 0.255925
500, 0.252296
501, 0.248644
502, 0.244979
503, 0.241314
504, 0.237653
505, 0.233996
506, 0.230346
507, 0.226697
508, 0.223063
509, 0.219452
510, 0.215863
511, 0.212297
512, 0.208753
513, 0.205223
514, 0.201727
515, 0.198263
516, 0.194832
517, 0.191436
518, 0.188067
519, 0.184722
520, 0.181424
521, 0.178168
522, 0.174952
523, 0.17178
524, 0.168638
525, 0.165523
526, 0.162467
527, 0.15946
528, 0.156497
529, 0.153583
530, 0.150704
531, 0.147848
532, 0.145062
533, 0.142327
534, 0.139638
535, 0.136997
536, 0.134399
537, 0.131809
538, 0.129293
539, 0.126832
540, 0.124416
541, 0.122041
542, 0.119718
543, 0.117395
544, 0.115133
545, 0.112931
546, 0.110779
547, 0.10866
548, 0.106588
549, 0.104549
550, 0.102514
551, 0.100557
552, 0.0986507
553, 0.0967841
554, 0.0949493
555, 0.0931637
556, 0.0913834
557, 0.0896371
558, 0.0879566
559, 0.0863248
560, 0.0847198
561, 0.0831493
562, 0.0816254
563, 0.0800885
564, 0.0785976
565, 0.0771623
566, 0.0757698
567, 0.0743992
568, 0.0730621
569, 0.0717663
570, 0.070454
571, 0.0691784
572, 0.0679545
573, 0.0667643
574, 0.0656044
575, 0.0644685
576, 0.0633665
577, 0.0622713
578, 0.0611543
579, 0.0601153
580, 0.0590951
581, 0.0581127
582, 0.0571597
583, 0.0562246
584, 0.0553192
585, 0.0543473
586, 0.0534493
587, 0.0525923
588, 0.0517439
589, 0.0509464
590, 0.0501637
591, 0.0493952
592, 0.0486372
593, 0.0477997
594, 0.0470688
595, 0.0463647
596, 0.0456686
597, 0.0450103
598, 0.0443786
599, 0.0437454
600, 0.0430924
601, 0.0423865
602, 0.041781
603, 0.0412047
604, 0.0406262
605, 0.0400673
606, 0.0395528
607, 0.0390315
608, 0.0384793
609, 0.0379089
610, 0.037367
611, 0.0368875
612, 0.0364066
613, 0.0359445
614, 0.0355006
615, 0.0350942
616, 0.0346677
617, 0.0341737
618, 0.0336803
619, 0.0332579
620, 0.0328743
621, 0.0324847
622, 0.0321235
623, 0.0317717
624, 0.0314216
625, 0.0310363
626, 0.030567
627, 0.0302224
628, 0.0298959
629, 0.02956
630, 0.0292422
631, 0.0289548
632, 0.0286474
633, 0.0283255
634, 0.0280297
635, 0.0277022
636, 0.0274097
637, 0.0271033
638, 0.0268187
639, 0.0265521
640, 0.0263081
641, 0.0260604
642, 0.0258406
643, 0.0256414
